rule_id,scenario,period,actual,limit,excess,unit,cause,severity
RESERVE_45D,HIGH_DEMAND,2035-01-01,12.4,13.561644,1.161644,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
RESERVE_45D,HIGH_DEMAND,2037-01-01,6.819,25.767123,18.948123,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
RESERVE_45D,HIGH_DEMAND,2038-01-01,10.594775,38.527397,27.932623,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
RESERVE_45D,HIGH_DEMAND,2039-01-01,0.0,49.315068,49.315068,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
RESERVE_45D,HIGH_DEMAND,2040-01-01,2.577123,60.10274,57.525616,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
TOTAL_SERVICE_REFERENCE,HIGH_DEMAND,2037,0.930119,0.97,0.039881,share,"annual total service below the resilience reference; shortage shown, no automatic recourse",reference
TOTAL_SERVICE_REFERENCE,HIGH_DEMAND,2040,0.876753,0.97,0.093247,share,"annual total service below the resilience reference; shortage shown, no automatic recourse",reference
