year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1705.753432,130.0,36.535657,12.0,0.0,0.0,0.0,1884.289089,0.873439,1645.811065,9.917311,8.662164
2038,2806.736986,130.0,65.214928,12.0,0.0,0.0,0.0,3013.951914,0.816298,2460.282548,12.055808,9.84113
2039,3261.0,130.0,86.084384,12.0,0.0,0.0,0.0,3489.084384,0.762895,2661.805771,10.903389,8.318143
2040,3261.0,130.0,80.788103,12.0,0.0,0.0,0.0,3483.788103,0.712986,2483.89277,8.93279,6.368956
