year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S0,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,BASE,S0,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,S0,190.0,135.0,23.424658,30.819,192.310646,192.310646,2.307728,0.012,190.0,135.0,0.0,0.0,30.821918,1.0,1.0,31.080737,31.348788,,0,1198.564745,130.0,22.378131,12.0,0.0,0.0,180.0,0.0,1362.942876,0.873439,1190.447092,7.173384,6.265511
2038,BASE,S0,250.0,170.0,30.821918,30.821918,261.771394,261.771394,3.141257,0.012,250.0,170.0,0.0,0.0,39.452055,1.0,1.0,35.491274,40.145592,,0,1816.765404,130.0,25.553717,12.0,0.0,0.0,180.0,0.0,1984.319121,0.816298,1619.795486,7.937276,6.479182
2039,BASE,S0,320.0,210.0,39.452055,39.452055,347.358438,347.358438,4.168301,0.012,320.0,210.0,0.0,0.0,62.642192,1.0,1.0,51.517247,63.530324,,0,2810.546448,130.0,37.092418,12.0,0.0,0.0,180.0,0.0,2989.638865,0.762895,2280.781176,9.342621,7.127441
2040,BASE,S0,390.0,250.0,48.082192,62.642192,380.0,380.0,4.56,0.012,390.0,250.0,0.0,0.0,48.082192,1.0,1.0,55.876493,63.683288,,0,3261.0,130.0,40.231075,12.0,0.0,0.0,180.0,0.0,3443.231075,0.712986,2454.976169,8.828798,6.294811
