year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1394.11177,130.0,24.047074,12.0,0.0,0.0,0.0,1560.158844,0.873439,1362.703157,8.211362,7.172122
2038,2634.316965,130.0,39.10443,12.0,0.0,0.0,0.0,2815.421395,0.816298,2298.222507,11.261686,9.19289
2039,3261.0,130.0,84.437112,12.0,0.0,0.0,0.0,3487.437112,0.762895,2660.549075,10.898241,8.314216
2040,3261.0,130.0,80.788103,12.0,0.0,0.0,0.0,3483.788103,0.712986,2483.89277,8.93279,6.368956
