year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,15.178675,0.0,0.0,360.0,118.099607,1447.878282,1.0,1447.878282,13.16253,13.16253
2036,824.6,130.0,13.173844,12.0,0.0,180.0,0.0,1159.773844,0.934579,1083.900789,7.530999,7.038317
2037,1241.158103,149.660274,1.994601,12.0,0.0,0.0,0.0,1404.812978,0.873439,1227.018061,7.321576,6.394948
2038,1693.778714,169.0,0.694012,12.0,0.0,0.0,0.0,1875.472726,0.816298,1530.944405,7.010478,5.722639
2039,2221.106317,169.0,0.32498,12.0,0.0,0.0,0.0,2402.431296,0.762895,1832.803333,7.291294,5.562493
2040,2766.157895,169.0,0.384658,12.0,0.0,0.0,0.0,2947.542552,0.712986,2101.557103,7.557801,5.388608
