year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,HIGH_DEMAND,S1_new24_margin10,110.0,88.0,13.561644,12.4,133.0,133.0,5.985,0.045,110.0,88.0,0.0,0.0,29.415,1.0,1.0,21.081493,29.732767,,0,824.6,130.0,15.178675,0.0,0.0,360.0,360.0,118.099607,1447.878282,1.0,1447.878282,13.16253,13.16253
2036,HIGH_DEMAND,S1_new24_margin10,154.0,115.5,18.986301,29.415,133.0,133.0,1.596,0.012,154.0,115.5,0.0,0.0,6.819,1.0,1.0,18.297005,29.779384,,0,824.6,130.0,13.173844,12.0,0.0,180.0,540.0,0.0,1159.773844,0.934579,1083.900789,7.530999,7.038317
2037,HIGH_DEMAND,S1_new24_margin10,209.0,148.5,25.767123,6.819,195.430273,195.430273,2.345163,0.012,191.873043,148.5,17.126957,0.0,8.031067,0.918053,1.0,2.770279,8.611154,2037-02-21,130,1241.158103,149.660274,1.994601,12.0,0.0,0.0,540.0,0.0,1404.812978,0.873439,1227.018061,7.321576,6.394948
2038,HIGH_DEMAND,S1_new24_margin10,312.5,212.5,38.527397,8.031067,262.644889,262.644889,3.151739,0.012,267.524217,212.5,44.975783,0.0,0.0,0.856077,1.0,0.963905,8.750642,2038-02-25,310,1693.778714,169.0,0.694012,12.0,0.0,0.0,540.0,0.0,1875.472726,0.816298,1530.944405,7.010478,5.722639
2039,HIGH_DEMAND,S1_new24_margin10,400.0,262.5,49.315068,0.0,333.495092,333.495092,4.001941,0.012,329.493151,262.5,70.506849,0.0,0.0,0.823733,1.0,0.45136,0.913685,2039-01-01,365,2221.106317,169.0,0.32498,12.0,0.0,0.0,540.0,0.0,2402.431296,0.762895,1832.803333,7.291294,5.562493
2040,HIGH_DEMAND,S1_new24_margin10,487.5,312.5,60.10274,0.0,394.736842,394.736842,4.736842,0.012,390.0,312.5,97.5,0.0,0.0,0.8,1.0,0.534247,1.081471,2040-01-01,365,2766.157895,169.0,0.384658,12.0,0.0,0.0,540.0,0.0,2947.542552,0.712986,2101.557103,7.557801,5.388608
