year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1286.1,169.0,24.407264,12.0,0.0,0.0,0.0,1491.507264,0.873439,1302.740208,7.850038,6.856527
2038,2253.693044,169.0,29.744997,12.0,0.0,0.0,0.0,2464.438041,0.816298,2011.71554,8.571958,6.997271
2039,3357.392019,169.0,45.152862,12.0,0.0,0.0,0.0,3583.544881,0.762895,2733.869232,9.737894,7.428992
2040,3080.0,169.0,48.748675,12.0,0.0,0.0,0.0,3309.748675,0.712986,2359.805063,7.379596,5.26155
