year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S1_new24_h2041_BASE,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,BASE,S1_new24_h2041_BASE,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,540.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,S1_new24_h2041_BASE,190.0,135.0,23.424658,30.819,192.310646,192.310646,2.307728,0.012,190.0,135.0,0.0,0.0,30.821918,1.0,1.0,23.053779,31.349848,,0,1221.816413,149.660274,16.598721,12.0,0.0,0.0,540.0,0.0,1400.075408,0.873439,1222.880084,7.368818,6.436211
2038,BASE,S1_new24_h2041_BASE,250.0,170.0,30.821918,30.821918,261.771394,261.771394,3.141257,0.012,250.0,170.0,0.0,0.0,39.452055,1.0,1.0,35.491274,40.145592,,0,1687.576895,169.0,25.553717,12.0,0.0,0.0,540.0,0.0,1894.130613,0.816298,1546.174798,7.576522,6.184699
2039,BASE,S1_new24_h2041_BASE,320.0,210.0,39.452055,39.452055,359.089693,359.089693,4.309076,0.012,320.0,210.0,0.0,0.0,74.232671,1.0,1.0,57.328364,75.121189,,0,2448.898265,169.0,41.276422,12.0,0.0,0.0,540.0,0.0,2671.174687,0.762895,2037.82638,8.347421,6.368207
2040,BASE,S1_new24_h2041_BASE,390.0,250.0,48.082192,74.232671,430.0,430.0,5.16,0.012,390.0,250.0,0.0,0.0,109.072671,1.0,1.0,92.234644,110.155301,,0,3080.0,169.0,66.408944,12.0,0.0,0.0,540.0,0.0,3327.408944,0.712986,2372.39659,8.531818,6.083068
2041,BASE,S1_new24_h2041_BASE,475.3125,304.6875,58.600171,109.072671,430.0,430.0,5.16,0.012,475.3125,304.6875,0.0,0.0,58.600171,1.0,1.0,84.418394,110.250753,,0,3080.0,169.0,60.781244,12.0,0.0,0.0,540.0,0.0,3321.781244,0.666342,2213.443101,6.988626,4.656817
