year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1286.1,169.0,24.407264,12.0,0.0,0.0,0.0,1491.507264,0.873439,1302.740208,7.850038,6.856527
2038,2038.294314,169.0,38.020586,12.0,0.0,0.0,0.0,2257.3149,0.816298,1842.64136,9.02926,7.370565
2039,2657.382036,169.0,77.9517,12.0,0.0,0.0,0.0,2916.333736,0.762895,2224.857044,9.113543,6.952678
2040,3410.473684,169.0,86.015342,12.0,0.0,0.0,0.0,3677.489027,0.712986,2621.998851,9.429459,6.723074
