year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,MANDATORY_STRESS,S1_new24_margin10,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,MANDATORY_STRESS,S1_new24_margin10,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,540.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,MANDATORY_STRESS,S1_new24_margin10,190.0,135.0,23.424658,30.819,195.430273,195.430273,2.345163,0.012,190.0,135.0,0.0,0.0,33.90411,1.0,1.0,24.599097,34.432142,,0,1241.158103,149.660274,17.71135,12.0,0.0,0.0,540.0,0.0,1420.529727,0.873439,1240.745678,7.476472,6.53024
2038,MANDATORY_STRESS,S1_new24_margin10,287.5,195.5,35.445205,33.90411,262.644889,262.644889,3.151739,0.012,287.5,195.5,0.0,0.0,5.89726,1.0,1.0,20.256155,34.623685,,0,1988.278714,169.0,14.584432,12.0,0.0,0.0,540.0,0.0,2183.863146,0.816298,1782.68285,7.596046,6.200636
2039,MANDATORY_STRESS,S1_new24_margin10,368.0,241.5,45.369863,5.89726,333.495092,333.495092,4.001941,0.012,335.390411,241.5,32.609589,0.0,0.0,0.911387,1.0,0.902951,6.810945,2039-02-25,310,2545.632896,169.0,0.650125,12.0,0.0,0.0,540.0,0.0,2727.283021,0.762895,2080.631159,8.131667,6.20361
2040,MANDATORY_STRESS,S1_new24_margin10,448.5,287.5,55.294521,0.0,394.736842,394.736842,4.736842,0.012,390.0,287.5,58.5,0.0,0.0,0.869565,1.0,0.534247,1.081471,2040-01-01,365,2766.157895,169.0,0.384658,12.0,0.0,0.0,540.0,0.0,2947.542552,0.712986,2101.557103,7.557801,5.388608
