parameter,unit,basis,base_value,base_metric,low_x,low_metric,low_delta,low_shortage_t,low_feasible,low_SL_min,high_x,high_metric,high_delta,high_shortage_t,high_feasible,high_SL_min,swing
Ставка дисконта,доля,"TEAM_ASSUMPTION 7 %, диапазон 0–12 %",0.07,9293.02576,0.0,11326.02854,2033.00278,0.0,True,1.0,0.12,8196.288215,-1096.737545,0.0,True,1.0,3129.740325
Цена Earth-Core,×,"стресс задаёт ×1,25; исследуем 0,9–1,35",1.0,9293.02576,0.9,8777.083697,-515.942063,0.0,True,1.0,1.35,11098.82298,1805.79722,0.0,True,1.0,2321.739283
Цена Earth-New,×,"геосценарий 1,10–1,35",1.0,9293.02576,0.9,9094.885001,-198.140759,0.0,True,1.0,1.35,9986.518417,693.492657,0.0,True,1.0,891.633416
Спрос (все годы),×,low/high демонстрируют ±20 %; +25 % за пределами high,1.0,9293.02576,0.8,9492.573022,199.547262,0.0,False,1.0,1.25,9178.290171,-114.735589,299.417808,False,0.8,314.282851
Цена Earth-Flex,×,"стресс задаёт ×1,25",1.0,9293.02576,0.9,9237.031151,-55.994609,0.0,True,1.0,1.35,9489.006891,195.981131,0.0,True,1.0,251.97574
Фактическая поставка ISRU,×,"стресс 0,55/0,75; надёжность первого года 0,78",1.0,9293.02576,0.5,9293.02576,0.0,0.0,True,1.0,1.0,9293.02576,0.0,0.0,True,1.0,0.0
