year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S1_new24_with_source_x,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,BASE,S1_new24_with_source_x,140.0,105.0,17.260274,39.415,143.0,143.0,1.716,0.012,140.0,105.0,0.0,0.0,40.699,1.0,1.0,40.25054,41.087263,,0,874.6,132.0,28.980389,12.0,0.0,180.0,540.0,0.0,1227.580389,0.934579,1147.271391,8.768431,8.194796
2037,BASE,S1_new24_with_source_x,190.0,135.0,23.424658,40.699,202.310646,202.310646,2.427728,0.012,190.0,135.0,0.0,0.0,50.581918,1.0,1.0,37.887313,51.110177,,0,1271.816413,151.660274,27.278866,12.0,0.0,0.0,540.0,0.0,1462.755553,0.873439,1277.62735,7.698713,6.724354
2038,BASE,S1_new24_with_source_x,250.0,170.0,30.821918,50.581918,271.771394,271.771394,3.261257,0.012,250.0,170.0,0.0,0.0,69.092055,1.0,1.0,60.204808,69.785921,,0,1737.576895,171.0,43.347462,12.0,0.0,0.0,540.0,0.0,1963.924357,0.816298,1603.147283,7.855697,6.412589
2039,BASE,S1_new24_with_source_x,320.0,210.0,39.452055,69.092055,342.621596,342.621596,4.111459,0.012,320.0,210.0,0.0,0.0,87.602192,1.0,1.0,78.810836,88.490168,,0,2263.332206,171.0,56.743802,12.0,0.0,0.0,540.0,0.0,2503.076007,0.762895,1909.584701,7.822113,5.967452
2040,BASE,S1_new24_with_source_x,390.0,250.0,48.082192,87.602192,404.736842,404.736842,4.856842,0.012,390.0,250.0,0.0,0.0,97.482192,1.0,1.0,93.089973,98.563991,,0,2816.157895,171.0,67.02478,12.0,0.0,0.0,540.0,0.0,3066.182675,0.712986,2186.145871,7.862007,5.605502
