year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,874.6,132.0,28.980389,12.0,0.0,180.0,0.0,1227.580389,0.934579,1147.271391,8.768431,8.194796
2037,1271.816413,151.660274,27.278866,12.0,0.0,0.0,0.0,1462.755553,0.873439,1277.62735,7.698713,6.724354
2038,1737.576895,171.0,43.347462,12.0,0.0,0.0,0.0,1963.924357,0.816298,1603.147283,7.855697,6.412589
2039,2263.332206,171.0,56.743802,12.0,0.0,0.0,0.0,2503.076007,0.762895,1909.584701,7.822113,5.967452
2040,2816.157895,171.0,67.02478,12.0,0.0,0.0,0.0,3066.182675,0.712986,2186.145871,7.862007,5.605502
