year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1221.816413,149.660274,16.598721,12.0,0.0,0.0,0.0,1400.075408,0.873439,1222.880084,7.368818,6.436211
2038,1687.576895,169.0,25.553717,12.0,0.0,0.0,0.0,1894.130613,0.816298,1546.174798,7.576522,6.184699
2039,2213.332206,169.0,31.836457,12.0,0.0,0.0,0.0,2426.168663,0.762895,1850.912456,7.581777,5.784101
2040,2766.157895,169.0,35.003836,12.0,0.0,0.0,0.0,2982.16173,0.712986,2126.240099,7.646569,5.451898
