year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,15.178675,0.0,0.0,360.0,118.099607,1447.878282,1.0,1447.878282,13.16253,13.16253
2036,824.6,130.0,13.173844,12.0,0.0,180.0,0.0,1159.773844,0.934579,1083.900789,7.530999,7.038317
2037,1250.828947,149.660274,2.148528,12.0,0.0,0.0,0.0,1414.637749,0.873439,1235.599396,7.343531,6.414125
2038,1966.36343,169.0,2.145971,12.0,0.0,0.0,0.0,2149.509401,0.816298,1754.63996,7.019205,5.729762
2039,2870.513615,169.0,0.96656,12.0,0.0,0.0,0.0,3052.480176,0.762895,2328.722511,7.6312,5.821806
2040,3080.0,169.0,0.433478,12.0,0.0,0.0,0.0,3261.433478,0.712986,2325.356995,7.648323,5.453149
