year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1394.11177,130.0,24.047074,12.0,0.0,1250.0,0.0,2810.158844,0.873439,2454.501567,14.79031,12.918429
2038,2167.20833,130.0,51.866492,12.0,70.0,0.0,0.0,2431.074822,0.816298,1984.481216,9.724299,7.937925
2039,2450.382036,130.0,86.084384,12.0,70.0,0.0,0.0,2748.46642,0.762895,2096.791872,8.588958,6.552475
2040,2985.473684,130.0,86.015342,12.0,70.0,0.0,0.0,3283.489027,0.712986,2341.082297,8.419203,6.002775
