year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,invalid_demo_no_earth_new,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,BASE,invalid_demo_no_earth_new,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,invalid_demo_no_earth_new,190.0,135.0,23.424658,30.819,159.543522,159.543522,1.914522,0.012,188.448,135.0,1.552,0.0,0.0,0.991832,1.0,14.886665,31.256106,2037-12-14,18,989.169838,130.0,10.718399,12.0,0.0,0.0,180.0,0.0,1141.888237,0.873439,997.36941,6.059434,5.292544
2038,BASE,invalid_demo_no_earth_new,250.0,170.0,30.821918,0.0,190.0,190.0,2.28,0.012,187.72,170.0,62.28,0.0,0.0,0.75088,1.0,0.257151,0.520548,2038-01-01,365,1178.0,130.0,0.185148,12.0,0.0,0.0,180.0,0.0,1320.185148,0.816298,1077.664334,7.032736,5.740807
2039,BASE,invalid_demo_no_earth_new,320.0,210.0,39.452055,0.0,202.621596,202.621596,2.431459,0.012,200.190137,200.190137,119.809863,9.809863,0.0,0.625594,0.953286,0.274233,0.555128,2039-01-01,365,1290.332206,130.0,0.197448,12.0,0.0,0.0,180.0,0.0,1432.529653,0.762895,1092.870014,7.155845,5.45916
2040,BASE,invalid_demo_no_earth_new,390.0,250.0,48.082192,0.0,264.736842,264.736842,3.176842,0.012,261.56,250.0,128.44,0.0,0.0,0.670667,1.0,0.358301,0.725306,2040-01-01,365,1843.157895,130.0,0.257977,12.0,0.0,0.0,180.0,0.0,1985.415872,0.712986,1415.574077,7.590671,5.412043
