year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1286.1,169.0,24.407264,12.0,0.0,1250.0,0.0,2741.507264,0.873439,2394.538618,14.428986,12.602835
2038,2084.07652,169.0,44.235151,12.0,70.0,0.0,0.0,2379.311671,0.816298,1942.227066,9.517247,7.768908
2039,2447.803727,169.0,85.647357,12.0,70.0,0.0,0.0,2784.451084,0.762895,2124.2444,8.70141,6.638264
2040,2666.605263,169.0,86.015342,12.0,70.0,0.0,0.0,3003.620606,0.712986,2141.53998,7.701591,5.491128
