year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,MANDATORY_STRESS,S1_new18_stress_reactive,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,MANDATORY_STRESS,S1_new18_stress_reactive,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,540.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,MANDATORY_STRESS,S1_new18_stress_reactive,190.0,135.0,23.424658,30.819,198.0,198.0,2.376,0.012,190.0,135.0,0.0,0.0,36.443,1.0,1.0,33.898978,36.970058,,0,1286.1,169.0,24.407264,12.0,0.0,0.0,540.0,0.0,1491.507264,0.873439,1302.740208,7.850038,6.856527
2038,MANDATORY_STRESS,S1_new18_stress_reactive,287.5,195.5,35.445205,36.443,300.027189,300.027189,3.600326,0.012,287.5,195.5,0.0,0.0,45.369863,1.0,1.0,34.056369,46.168124,,0,2430.572273,169.0,24.520586,12.0,0.0,0.0,540.0,0.0,2636.092858,0.816298,2151.837004,9.169019,7.48465
2039,MANDATORY_STRESS,S1_new18_stress_reactive,368.0,241.5,45.369863,45.369863,382.514836,382.514836,4.590178,0.012,368.0,241.5,0.0,0.0,55.294521,1.0,1.0,50.849897,56.315316,,0,3090.977546,169.0,36.611926,12.0,0.0,0.0,540.0,0.0,3308.589471,0.762895,2524.107066,8.990732,6.858987
2040,MANDATORY_STRESS,S1_new18_stress_reactive,448.5,287.5,55.294521,55.294521,453.947368,453.947368,5.447368,0.012,448.5,287.5,0.0,0.0,55.294521,1.0,1.0,55.908904,56.538212,,0,3410.473684,169.0,40.254411,12.0,0.0,0.0,540.0,0.0,3631.728095,0.712986,2589.371939,8.097499,5.773405
