year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S1_new24_stress_reactive,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,BASE,S1_new24_stress_reactive,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,540.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,S1_new24_stress_reactive,190.0,135.0,23.424658,30.819,196.990087,196.990087,2.363881,0.012,190.0,135.0,0.0,0.0,35.445205,1.0,1.0,25.371756,35.97329,,0,1335.130948,149.660274,18.267665,12.0,0.0,0.0,540.0,0.0,1515.058887,0.873439,1323.311107,7.973994,6.964795
2038,BASE,S1_new24_stress_reactive,250.0,170.0,30.821918,35.445205,301.037103,301.037103,3.612445,0.012,250.0,170.0,0.0,0.0,82.869863,1.0,1.0,53.081497,83.56534,,0,2037.041706,169.0,38.218678,12.0,0.0,0.0,540.0,0.0,2256.260384,0.816298,1841.780561,9.025042,7.367122
2039,BASE,S1_new24_stress_reactive,320.0,210.0,39.452055,82.869863,382.514836,382.514836,4.590178,0.012,320.0,210.0,0.0,0.0,119.123288,1.0,1.0,108.26625,120.171274,,0,2657.382036,169.0,77.9517,12.0,0.0,0.0,540.0,0.0,2916.333736,0.762895,2224.857044,9.113543,6.952678
2040,BASE,S1_new24_stress_reactive,390.0,250.0,48.082192,119.123288,453.947368,453.947368,5.447368,0.012,390.0,250.0,0.0,0.0,118.931507,1.0,1.0,119.465753,120.366979,,0,3410.473684,169.0,86.015342,12.0,0.0,0.0,540.0,0.0,3677.489027,0.712986,2621.998851,9.429459,6.723074
