year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S0min_stress_prepared,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,BASE,S0min_stress_prepared,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,S0min_stress_prepared,190.0,135.0,23.424658,30.819,273.563765,273.563765,3.282765,0.012,190.0,135.0,0.0,0.0,111.1,1.0,1.0,71.329748,111.629542,,0,1921.71751,130.0,51.357419,12.0,0.0,0.0,180.0,0.0,2115.074929,0.873439,1847.388356,11.131973,9.723097
2038,BASE,S0min_stress_prepared,250.0,170.0,30.821918,111.1,300.0,300.0,3.6,0.012,250.0,170.0,0.0,0.0,119.315068,1.0,1.0,118.941512,120.136986,,0,2157.0,130.0,85.637889,12.0,0.0,0.0,180.0,0.0,2384.637889,0.816298,1946.574846,9.538552,7.786299
2039,BASE,S0min_stress_prepared,320.0,210.0,39.452055,119.315068,300.0,300.0,3.6,0.012,320.0,210.0,0.0,0.0,95.587945,1.0,1.0,107.793973,120.136986,,0,2157.0,130.0,77.61166,12.0,0.0,0.0,180.0,0.0,2376.61166,0.762895,1813.105657,7.426911,5.665955
2040,BASE,S0min_stress_prepared,390.0,250.0,48.082192,95.587945,300.0,300.0,3.6,0.012,390.0,250.0,0.0,0.0,1.987945,1.0,1.0,49.193973,96.409863,,0,2157.0,130.0,35.41966,12.0,0.0,0.0,180.0,0.0,2334.41966,0.712986,1664.408955,5.985691,4.267715
