year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,15.178675,0.0,0.0,360.0,118.099607,1447.878282,1.0,1447.878282,13.16253,13.16253
2036,824.6,130.0,13.173844,12.0,0.0,180.0,0.0,1159.773844,0.934579,1083.900789,7.530999,7.038317
2037,1221.816413,149.660274,1.688788,12.0,0.0,0.0,0.0,1385.165476,0.873439,1209.857171,7.277146,6.356141
2038,1687.576895,169.0,0.535481,12.0,0.0,0.0,0.0,1869.112376,0.816298,1525.752464,7.050396,5.755223
2039,2213.332206,169.0,0.324128,12.0,0.0,0.0,0.0,2394.656334,0.762895,1826.871852,7.286783,5.559051
2040,2766.157895,169.0,0.384658,12.0,0.0,0.0,0.0,2947.542552,0.712986,2101.557103,7.557801,5.388608
