year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,HIGH_DEMAND,S1_new24,110.0,88.0,13.561644,12.4,133.0,133.0,5.985,0.045,110.0,88.0,0.0,0.0,29.415,1.0,1.0,21.081493,29.732767,,0,824.6,130.0,15.178675,0.0,0.0,360.0,360.0,118.099607,1447.878282,1.0,1447.878282,13.16253,13.16253
2036,HIGH_DEMAND,S1_new24,154.0,115.5,18.986301,29.415,133.0,133.0,1.596,0.012,154.0,115.5,0.0,0.0,6.819,1.0,1.0,18.297005,29.779384,,0,824.6,130.0,13.173844,12.0,0.0,180.0,540.0,0.0,1159.773844,0.934579,1083.900789,7.530999,7.038317
2037,HIGH_DEMAND,S1_new24,209.0,148.5,25.767123,6.819,192.310646,192.310646,2.307728,0.012,190.344614,148.5,18.655386,0.0,6.477304,0.91074,1.0,2.345539,7.256106,2037-02-18,133,1221.816413,149.660274,1.688788,12.0,0.0,0.0,540.0,0.0,1385.165476,0.873439,1209.857171,7.277146,6.356141
2038,HIGH_DEMAND,S1_new24,312.5,212.5,38.527397,6.477304,261.771394,261.771394,3.141257,0.012,265.107441,212.5,47.392559,0.0,0.0,0.848344,1.0,0.743723,7.194486,2038-02-13,322,1687.576895,169.0,0.535481,12.0,0.0,0.0,540.0,0.0,1869.112376,0.816298,1525.752464,7.050396,5.755223
2039,HIGH_DEMAND,S1_new24,400.0,262.5,49.315068,0.0,332.621596,332.621596,3.991459,0.012,328.630137,262.5,71.369863,0.0,0.0,0.821575,1.0,0.450178,0.911292,2039-01-01,365,2213.332206,169.0,0.324128,12.0,0.0,0.0,540.0,0.0,2394.656334,0.762895,1826.871852,7.286783,5.559051
2040,HIGH_DEMAND,S1_new24,487.5,312.5,60.10274,0.0,394.736842,394.736842,4.736842,0.012,390.0,312.5,97.5,0.0,0.0,0.8,1.0,0.534247,1.081471,2040-01-01,365,2766.157895,169.0,0.384658,12.0,0.0,0.0,540.0,0.0,2947.542552,0.712986,2101.557103,7.557801,5.388608
