year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S3_h2041_BASE,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,BASE,S3_h2041_BASE,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,540.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,S3_h2041_BASE,190.0,135.0,23.424658,30.819,198.0,198.0,2.376,0.012,190.0,135.0,0.0,0.0,36.443,1.0,1.0,33.898978,36.970058,,0,1286.1,169.0,24.407264,12.0,0.0,1250.0,1790.0,0.0,2741.507264,0.873439,2394.538618,14.428986,12.602835
2038,BASE,S3_h2041_BASE,250.0,170.0,30.821918,36.443,256.082039,256.082039,3.072984,0.012,250.0,170.0,0.0,0.0,39.452055,1.0,1.0,38.294115,40.145405,,0,1460.346118,169.0,27.571763,12.0,70.0,0.0,1790.0,0.0,1738.917881,0.816298,1419.474974,6.955672,5.6779
2039,BASE,S3_h2041_BASE,320.0,210.0,39.452055,39.452055,332.621596,332.621596,3.991459,0.012,320.0,210.0,0.0,0.0,48.082192,1.0,1.0,44.217302,48.96984,,0,1736.753896,169.0,31.836457,12.0,70.0,0.0,1790.0,0.0,2019.590353,0.762895,1540.735811,6.31122,4.814799
2040,BASE,S3_h2041_BASE,390.0,250.0,48.082192,48.082192,405.38257,405.38257,4.864591,0.012,390.0,250.0,0.0,0.0,58.600171,1.0,1.0,53.889836,59.681992,,0,2215.216249,169.0,38.800682,12.0,70.0,0.0,1790.0,0.0,2505.016931,0.712986,1786.042451,6.42312,4.579596
2041,BASE,S3_h2041_BASE,475.3125,304.6875,58.600171,58.600171,481.085526,481.085526,5.773026,0.012,475.3125,304.6875,0.0,0.0,58.600171,1.0,1.0,59.251284,59.918214,,0,2826.661184,169.0,42.660925,12.0,70.0,0.0,1790.0,0.0,3120.322109,0.666342,2079.202373,6.56478,4.37439
