year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1286.1,169.0,24.407264,12.0,0.0,1250.0,0.0,2741.507264,0.873439,2394.538618,14.428986,12.602835
2038,1460.346118,169.0,27.571763,12.0,70.0,0.0,0.0,1738.917881,0.816298,1419.474974,6.955672,5.6779
2039,1736.753896,169.0,31.836457,12.0,70.0,0.0,0.0,2019.590353,0.762895,1540.735811,6.31122,4.814799
2040,2215.216249,169.0,38.800682,12.0,70.0,0.0,0.0,2505.016931,0.712986,1786.042451,6.42312,4.579596
2041,2826.661184,169.0,42.660925,12.0,70.0,0.0,0.0,3120.322109,0.666342,2079.202373,6.56478,4.37439
