year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1273.07189,149.660274,19.547188,12.0,0.0,0.0,0.0,1454.279352,0.873439,1270.223908,7.654102,6.685389
2038,2267.995522,169.0,32.297096,12.0,0.0,0.0,0.0,2481.292618,0.816298,2025.473896,8.630583,7.045127
2039,3368.567304,169.0,48.777758,12.0,0.0,0.0,0.0,3598.345062,0.762895,2745.160219,9.778112,7.459675
2040,3080.0,169.0,52.729881,12.0,0.0,0.0,0.0,3313.729881,0.712986,2362.643607,7.388472,5.267879
