year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1286.1,169.0,24.407264,12.0,0.0,1250.0,0.0,2741.507264,0.873439,2394.538618,14.428986,12.602835
2038,2446.159121,169.0,21.413303,12.0,70.0,0.0,0.0,2718.572424,0.816298,2219.164898,9.455904,7.718834
2039,2854.379659,169.0,36.611926,12.0,70.0,0.0,0.0,3141.991584,0.762895,2397.010336,8.538021,6.513615
2040,2666.605263,169.0,40.254411,12.0,70.0,0.0,0.0,2957.859674,0.712986,2108.913068,6.595005,4.702147
