year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1394.11177,130.0,24.047074,12.0,0.0,1250.0,0.0,2810.158844,0.873439,2454.501567,14.79031,12.918429
2038,2549.897141,130.0,19.860603,12.0,70.0,0.0,0.0,2781.757744,0.816298,2270.74294,9.675679,7.898236
2039,2972.977546,130.0,36.611926,12.0,70.0,0.0,0.0,3221.589471,0.762895,2457.735183,8.754319,6.678628
2040,2985.473684,130.0,40.254411,12.0,70.0,0.0,0.0,3237.728095,0.712986,2308.455385,7.219015,5.147058
