year,scenario_id,plan_id,demand_total_t,demand_critical_t,required_opening_reserve_t,opening_inventory_t,scheduled_t,delivered_t,losses_t,loss_ratio,served_total_t,served_critical_t,shortage_total_t,shortage_critical_t,closing_inventory_t,SL_total,SL_critical,mean_inventory_t,peak_before_losses_t,first_shortage_date,shortage_days,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,cumulative_capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,BASE,S3_stress_prepared,100.0,80.0,12.328767,12.4,133.0,133.0,5.985,0.045,100.0,80.0,0.0,0.0,39.415,1.0,1.0,26.081493,39.70537,,0,824.6,130.0,18.778675,0.0,0.0,360.0,360.0,118.099607,1451.478282,1.0,1451.478282,14.514783,14.514783
2036,BASE,S3_stress_prepared,140.0,105.0,17.260274,39.415,133.0,133.0,1.596,0.012,140.0,105.0,0.0,0.0,30.819,1.0,1.0,35.297005,39.779384,,0,824.6,130.0,25.413844,12.0,0.0,180.0,540.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,BASE,S3_stress_prepared,190.0,135.0,23.424658,30.819,198.0,198.0,2.376,0.012,190.0,135.0,0.0,0.0,36.443,1.0,1.0,33.898978,36.970058,,0,1286.1,169.0,24.407264,12.0,0.0,1250.0,1790.0,0.0,2741.507264,0.873439,2394.538618,14.428986,12.602835
2038,BASE,S3_stress_prepared,250.0,170.0,30.821918,36.443,354.027189,354.027189,4.248326,0.012,250.0,170.0,0.0,0.0,119.315068,1.0,1.0,85.356006,120.285006,,0,1869.468574,169.0,61.456324,12.0,70.0,0.0,1790.0,0.0,2181.924898,0.816298,1781.100662,8.7277,7.124403
2039,BASE,S3_stress_prepared,320.0,210.0,39.452055,119.315068,412.514836,412.514836,4.950178,0.012,320.0,210.0,0.0,0.0,119.123288,1.0,1.0,119.561644,120.445246,,0,2265.855332,169.0,86.084384,12.0,70.0,0.0,1790.0,0.0,2602.939716,0.762895,1985.770247,8.134187,6.205532
2040,BASE,S3_stress_prepared,390.0,250.0,48.082192,119.123288,453.947368,453.947368,5.447368,0.012,390.0,250.0,0.0,0.0,118.931507,1.0,1.0,119.465753,120.366979,,0,2585.131579,169.0,86.015342,12.0,70.0,0.0,1790.0,0.0,2922.146921,0.712986,2083.450369,7.492684,5.34218
