year,procurement_mln,reservation_mln,holding_mln,opex_zbo_mln,opex_isru_mln,capex_mln,preparation_cost_mln,total_expense_mln,discount_factor,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln
2035,824.6,130.0,18.778675,0.0,0.0,0.0,118.099607,1091.478282,1.0,1091.478282,10.914783,10.914783
2036,824.6,130.0,25.413844,12.0,0.0,180.0,0.0,1172.013844,0.934579,1095.340041,8.371527,7.823857
2037,1558.691194,130.0,36.809671,12.0,0.0,0.0,0.0,1737.500865,0.873439,1517.600546,9.144741,7.987371
2038,2157.0,130.0,67.97234,12.0,0.0,0.0,0.0,2366.97234,0.816298,1932.154496,9.467889,7.728618
2039,2157.0,130.0,76.18034,12.0,0.0,0.0,0.0,2375.18034,0.762895,1812.013709,7.422439,5.662543
2040,2157.0,130.0,33.98834,12.0,0.0,0.0,0.0,2332.98834,0.712986,1663.388443,5.982021,4.265099
